,,,,,,,"CLIENTE:","=$CAPA.G27",,,," PROJETO:","=$CAPA.A31",,,"VERIFICADO:","ALEXANDRE MANDUCA",
"=A22+1","Z2J11LSH","-","REGUEIRA DE SAÍDA DO ELEVADOR DE CANECAS - Z2J11","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","150mm","300mm","VEGA","VEGAVIB63",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-107","-",,1
"=A23+1","Z2J16ZSH","-","VÁLVULA DUPLO FLAP - Z2J16","ABERTO SUPERIOR","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-103","-",,1
"=A24+1","Z2J16ZSL","-","VÁLVULA DUPLO FLAP - Z2J16","ABERTO INFERIOR","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-103","-",,1
"=A25+1","Z2J18LSH","571BE02.LS1","ELEVADOR DE CANECAS - Z2J18","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","-","-","E+H","FTE20-AA11AA31",1,"SINOMA","Z2RM7","-","-","-",,1
"=A26+1","Z2J18M1TSH","571BE02.TS1","ELEVADOR DE CANECAS - Z2J18","TEMPERATURA ÓLEO ACOPLAMENTO ELEVADOR Z2J18","SENSOR TEMPERATURA","120Vca","-","-","Schneider","XCMD2102L1",1,"SINOMA","Z2RM7","-","-","-",,1
"=A27+1","Z2J18M2SE","571BE02.M2.SS1","ELEVADOR DE CANECAS - Z2J18","SENSOR DO MOTOR AUXILIAR 
VIGIA DE VELOCIDADE","SENSOR INDUTIVO NAMUR","120Vca","-","-","IFM","IG5497+ECV004
DD0203",1,"SINOMA","Z2RM7","-","-","-",,1
"=A28+1","Z2J18SE1","571BE02.SS1","ELEVADOR DE CANECAS - Z2J18","SENSOR 1 - PÉ DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider"," XSAV11801",1,"SINOMA","Z2RM7","-","-","-",,1
"=A29+1","Z2J18SE1CX","-","ELEVADOR DE CANECAS - Z2J18","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A30+1","Z2J18SE2","-","ELEVADOR DE CANECAS - Z2J18","SENSOR 2 - PÉ DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-103","-",,1
"=A31+1","Z2J18SE2CX","-","ELEVADOR DE CANECAS - Z2J18","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
